,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
444,Inside Man,(2006),7.6,"384,350",76        ,$88.51M,R,129 min,"Crime, Drama, Mystery","
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']",Spike Lee
445,The Illusionist,(2006),7.5,"380,566",68        ,$39.87M,PG-13,110 min,"Drama, Fantasy, Mystery","
In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.","['Edward Norton', 'Jessica Biel', 'Paul Giamatti', 'Rufus Sewell']",Neil Burger
446,Friends with Benefits,(2011),6.5,"380,376",63        ,$55.80M,R,109 min,"Comedy, Romance","
A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.","['Mila Kunis', 'Justin Timberlake', 'Patricia Clarkson', 'Jenna Elfman']",Will Gluck
447,The Italian Job,(2003),7.0,"377,704",68        ,$106.13M,PG-13,111 min,"Action, Crime, Thriller","
After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.","['Donald Sutherland', 'Mark Wahlberg', 'Edward Norton', 'Charlize Theron']",F. Gary Gray
448,The Fighter,(2010),7.8,"377,461",79        ,$93.62M,R,116 min,"Action, Biography, Drama","
Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']",David O. Russell
449,Speed,(1994),7.3,"377,201",78        ,$121.25M,R,116 min,"Action, Adventure, Thriller","
A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.","['Keanu Reeves', 'Dennis Hopper', 'Sandra Bullock', 'Joe Morton']",Jan de Bont
450,Knocked Up,(2007),6.9,"376,594",85        ,$148.73M,R,129 min,"Comedy, Romance","
For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","['Seth Rogen', 'Katherine Heigl', 'Paul Rudd', 'Leslie Mann']",Judd Apatow
451,Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.3,"376,473",83        ,$52.90M,R,116 min,"Drama, Horror, Musical","
The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.","['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman', 'Timothy Spall']",Tim Burton
452,Home Alone 2: Lost in New York,(1992),6.8,"375,549",46        ,$173.59M,PG,120 min,"Adventure, Comedy, Crime","
One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.","['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara""]",Chris Columbus
453,The Suicide Squad,(2021),7.2,"374,691",72        ,$55.82M,R,132 min,"Action, Adventure, Comedy","
Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",James Gunn
454,Men in Black 3,(2012),6.8,"373,628",58        ,$179.02M,PG-13,106 min,"Action, Adventure, Comedy","
Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement']",Barry Sonnenfeld
455,Signs,(2002),6.8,"373,417",59        ,$227.97M,PG-13,106 min,"Drama, Mystery, Sci-Fi","
A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.","['Mel Gibson', 'Joaquin Phoenix', 'Rory Culkin', 'Abigail Breslin']",M. Night Shyamalan
456,Snowpiercer,(2013),7.1,"372,537",84        ,$4.56M,R,126 min,"Action, Drama, Sci-Fi","
In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","['Chris Evans', 'Jamie Bell', 'Tilda Swinton', 'Ed Harris']",Bong Joon Ho
457,Man on Fire,(2004),7.7,"372,473",47        ,$77.91M,R,146 min,"Action, Crime, Drama","
In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']",Tony Scott
458,Monsters University,(2013),7.2,"372,058",65        ,$268.49M,G,104 min,"Animation, Adventure, Comedy","
A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.","['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren']",Dan Scanlon
459,Yes Man,(2008),6.8,"371,787",46        ,$97.69M,PG-13,104 min,"Comedy, Romance","
A man challenges himself to say ""yes"" to everything.","['Jim Carrey', 'Zooey Deschanel', 'Bradley Cooper', 'John Michael Higgins']",Peyton Reed
460,The Aviator,(2004),7.5,"371,679",77        ,$102.61M,PG-13,170 min,"Biography, Drama","
A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.","['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly']",Martin Scorsese
461,Die Hard 2,(1990),7.1,"370,917",67        ,$117.54M,R,124 min,"Action, Thriller","
John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.","['Bruce Willis', 'William Atherton', 'Bonnie Bedelia', 'Reginald VelJohnson']",Renny Harlin
462,The Lego Movie,(2014),7.7,"370,499",83        ,$257.76M,PG,100 min,"Animation, Action, Adventure","
An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett']",Christopher Miller; Phil Lord
463,Ferris Bueller's Day Off,(1986),7.8,"370,242",61        ,$70.14M,PG-13,103 min,Comedy,"
A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']",John Hughes
464,Sleepy Hollow,(1999),7.3,"370,227",65        ,$101.07M,R,105 min,"Fantasy, Horror, Mystery","
Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.","['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon']",Tim Burton
465,Terminator Salvation,(2009),6.5,"369,291",49        ,$125.32M,PG-13,115 min,"Action, Adventure, Sci-Fi","
In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?","['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood']",McG
466,Brokeback Mountain,(2005),7.7,"368,112",87        ,$83.04M,R,134 min,"Drama, Romance","
Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.","['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']",Ang Lee
467,Cloud Atlas,(2012),7.4,"367,706",55        ,$27.11M,R,172 min,"Drama, Mystery, Sci-Fi","
An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","['Lilly Wachowski', 'Tom Hanks', 'Halle Berry', 'Hugh Grant', 'Hugo Weaving']",Lana Wachowski; Tom Tykwer
468,Mulholland Drive,(2001),7.9,"367,516",86        ,$7.22M,R,147 min,"Drama, Mystery, Thriller","
After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']",David Lynch
469,Mission: Impossible III,(2006),6.9,"367,217",66        ,$134.03M,PG-13,126 min,"Action, Adventure, Thriller","
IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.","['Tom Cruise', 'Michelle Monaghan', 'Ving Rhames', 'Philip Seymour Hoffman']",J.J. Abrams
470,Moon,(2009),7.8,"366,982",67        ,$5.01M,R,97 min,"Drama, Mystery, Sci-Fi","
Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw']",Duncan Jones
471,Anchorman: The Legend of Ron Burgundy,(2004),7.1,"366,970",63        ,$85.29M,PG-13,94 min,Comedy,"
In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor.","['Will Ferrell', 'Christina Applegate', 'Steve Carell', 'Paul Rudd']",Adam McKay
472,50 First Dates,(2004),6.8,"366,915",48        ,$120.91M,PG-13,99 min,"Comedy, Drama, Romance","
Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.","['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin']",Peter Segal
473,Wedding Crashers,(2005),7.0,"365,260",64        ,$209.22M,R,119 min,"Comedy, Romance","
John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.","['Owen Wilson', 'Vince Vaughn', 'Rachel McAdams', 'Christopher Walken']",David Dobkin
474,About Time,(2013),7.8,"365,166",55        ,$15.32M,R,123 min,"Comedy, Drama, Fantasy","
At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson']",Richard Curtis
475,Shazam!,(2019),7.0,"365,034",71        ,$140.37M,PG-13,132 min,"Action, Adventure, Comedy","
A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.","['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer']",David F. Sandberg
476,Scream,(1996),7.4,"364,969",65        ,$103.05M,R,111 min,"Horror, Mystery","
A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.","['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']",Wes Craven
477,Flight,(2012),7.3,"364,225",76        ,$93.77M,R,138 min,"Drama, Thriller","
An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","['Denzel Washington', 'Nadine Velazquez', 'Don Cheadle', 'John Goodman']",Robert Zemeckis
478,Raging Bull,(1980),8.1,"363,700",90        ,$23.38M,R,129 min,"Biography, Drama, Sport","
The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",Martin Scorsese
479,Downfall,(2004),8.2,"362,805",82        ,$5.51M,R,156 min,"Biography, Drama, History","
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']",Oliver Hirschbiegel
480,Hotel Rwanda,(2004),8.1,"362,242",79        ,$23.53M,PG-13,121 min,"Biography, Drama, History","
Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']",Terry George
481,The Gentlemen,(2019),7.8,"361,767",51        ,$36.47M,R,113 min,"Action, Comedy, Crime","
An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']",Guy Ritchie
482,Solo: A Star Wars Story,(2018),6.9,"361,592",62        ,$213.77M,PG-13,135 min,"Action, Adventure, Sci-Fi","
Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.","['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover']",Ron Howard
483,Night at the Museum,(2006),6.4,"361,211",48        ,$250.86M,PG,108 min,"Adventure, Comedy, Family","
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.","['Ben Stiller', 'Carla Gugino', 'Ricky Gervais', 'Dick Van Dyke']",Shawn Levy
484,Super 8,(2011),7.0,"361,177",72        ,$127.00M,PG-13,112 min,"Action, Mystery, Sci-Fi","
During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.","['Elle Fanning', 'AJ Michalka', 'Kyle Chandler', 'Joel Courtney']",J.J. Abrams
485,Once Upon a Time in America,(1984),8.3,"360,917",75        ,$5.32M,R,229 min,"Crime, Drama","
A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']",Sergio Leone
486,The Ring,(2002),7.1,"360,654",57        ,$129.13M,PG-13,115 min,"Horror, Mystery","
A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.","['Naomi Watts', 'Martin Henderson', 'Brian Cox', 'David Dorfman']",Gore Verbinski
487,Eternals,(2021),6.3,"360,441",52        ,$164.87M,PG-13,156 min,"Action, Adventure, Fantasy","
The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']",Chloé Zhao
488,Boyhood,(2014),7.9,"360,342",100        ,$25.38M,R,165 min,Drama,"
The life of Mason, from early childhood to his arrival at college.","['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Elijah Smith']",Richard Linklater
489,Bird Box,(2018),6.6,"359,876",51        ,-,R,124 min,"Horror, Mystery, Sci-Fi","
Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.","['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson']",Susanne Bier
490,Jackie Brown,(1997),7.5,"359,234",64        ,$39.67M,R,154 min,"Crime, Drama, Thriller","
A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.","['Pam Grier', 'Samuel L. Jackson', 'Robert Forster', 'Bridget Fonda']",Quentin Tarantino
491,Jumanji,(1995),7.0,"359,005",39        ,$100.48M,PG,104 min,"Adventure, Comedy, Family","
When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt', 'Jonathan Hyde']",Joe Johnston
492,Constantine,(2005),7.0,"358,953",50        ,$75.98M,R,121 min,"Action, Fantasy, Horror","
Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.","['Keanu Reeves', 'Rachel Weisz', 'Djimon Hounsou', 'Shia LaBeouf']",Francis Lawrence
493,10 Things I Hate About You,(1999),7.3,"358,881",70        ,$38.18M,PG-13,97 min,"Comedy, Drama, Romance","
A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.","['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik']",Gil Junger
494,Moonrise Kingdom,(2012),7.8,"357,602",84        ,$45.51M,PG-13,94 min,"Comedy, Drama, Family","
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","['Jared Gilman', 'Kara Hayward', 'Bruce Willis', 'Bill Murray']",Wes Anderson
495,Ocean's Thirteen,(2007),6.9,"356,427",62        ,$117.15M,PG-13,122 min,"Crime, Thriller","
Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.","['George Clooney', 'Brad Pitt', 'Matt Damon', 'Michael Mantell']",Steven Soderbergh
496,Eyes Wide Shut,(1999),7.5,"355,109",68        ,$55.69M,R,159 min,"Drama, Mystery, Thriller","
A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","['Tom Cruise', 'Nicole Kidman', 'Todd Field', 'Sydney Pollack']",Stanley Kubrick
497,Midsommar,(2019),7.1,"353,731",72        ,$27.33M,R,148 min,"Drama, Horror, Mystery","
A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","['Florence Pugh', 'Jack Reynor', 'Vilhelm Blomgren', 'William Jackson Harper']",Ari Aster
498,The Expendables,(2010),6.4,"353,621",45        ,$103.07M,R,103 min,"Action, Adventure, Thriller","
A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.","['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren']",Sylvester Stallone
499,My Neighbor Totoro,(1988),8.1,"353,617",86        ,$1.11M,G,86 min,"Animation, Comedy, Family","
When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",Hayao Miyazaki
500,Seven Samurai,(1954),8.6,"353,321",98        ,$0.27M,Not Rated,207 min,"Action, Drama","
Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",Akira Kurosawa
501,Moana,(2016),7.6,"352,701",81        ,$248.76M,PG,107 min,"Animation, Adventure, Comedy","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","['Don Hall', 'Chris Williams', ""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']",John Musker; Ron Clements
502,The Nightmare Before Christmas,(1993),7.9,"352,097",82        ,$75.08M,PG,76 min,"Animation, Family, Fantasy","
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']",Henry Selick
503,Due Date,(2010),6.5,"350,566",51        ,$100.54M,R,95 min,"Comedy, Drama","
High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Jamie Foxx']",Todd Phillips
504,Jack Reacher,(2012),7.0,"350,463",50        ,$80.07M,PG-13,130 min,"Action, Mystery, Thriller","
A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.","['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins', 'Werner Herzog']",Christopher McQuarrie
505,How to Train Your Dragon 2,(2014),7.8,"348,295",77        ,$177.00M,PG,102 min,"Animation, Action, Adventure","
When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",Dean DeBlois
506,Pineapple Express,(2008),6.9,"348,136",64        ,$87.34M,R,111 min,"Action, Comedy, Crime","
A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.","['Seth Rogen', 'James Franco', 'Gary Cole', 'Danny McBride']",David Gordon Green
507,True Grit,(2010),7.6,"347,519",80        ,$171.24M,PG-13,110 min,"Drama, Western","
A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.","['Jeff Bridges', 'Matt Damon', 'Hailee Steinfeld', 'Josh Brolin']",Joel Coen; Ethan Coen
508,The Rock,(1996),7.4,"347,393",58        ,$134.07M,R,136 min,"Action, Adventure, Thriller","
A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.","['Sean Connery', 'Nicolas Cage', 'Ed Harris', 'John Spencer']",Michael Bay
509,The Deer Hunter,(1978),8.1,"347,131",86        ,$48.98M,R,183 min,"Drama, War","
An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.","['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",Michael Cimino
510,Soul,(2020),8.0,"346,621",83        ,-,PG,100 min,"Animation, Adventure, Comedy","
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']",Kemp Powers; Pete Docter
511,TRON: Legacy,(2010),6.8,"345,838",49        ,$172.06M,PG,125 min,"Action, Adventure, Sci-Fi","
The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.","['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde', 'Bruce Boxleitner']",Joseph Kosinski
512,Mission: Impossible - Fallout,(2018),7.7,"345,745",86        ,$220.16M,PG-13,147 min,"Action, Adventure, Thriller","
Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']",Christopher McQuarrie
513,The Blind Side,(2009),7.6,"345,133",53        ,$255.96M,PG-13,129 min,"Biography, Drama, Sport","
The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw', 'Jae Head']",John Lee Hancock
514,Being John Malkovich,(1999),7.7,"344,299",90        ,$22.86M,R,113 min,"Comedy, Drama, Fantasy","
A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.","['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'John Malkovich']",Spike Jonze
515,Kingsman: The Golden Circle,(2017),6.7,"344,051",44        ,$100.23M,R,141 min,"Action, Adventure, Comedy","
After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.","['Taron Egerton', 'Colin Firth', 'Mark Strong', 'Channing Tatum']",Matthew Vaughn
516,The Hunger Games: Mockingjay - Part 2,(2015),6.5,"343,921",65        ,$281.72M,PG-13,137 min,"Action, Adventure, Sci-Fi","
Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']",Francis Lawrence
517,Meet the Parents,(2000),7.0,"343,811",73        ,$166.24M,PG-13,108 min,"Comedy, Romance","
Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","['Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner']",Jay Roach
518,The Nice Guys,(2016),7.3,"343,505",70        ,$36.26M,R,116 min,"Action, Comedy, Crime","
In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","['Russell Crowe', 'Ryan Gosling', 'Angourie Rice', 'Matt Bomer']",Shane Black
519,National Treasure,(2004),6.9,"343,377",40        ,$173.01M,PG,131 min,"Action, Adventure, Mystery","
A historian races to find the legendary Templar Treasure before a team of mercenaries.","['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean']",Jon Turteltaub
520,Shooter,(2007),7.1,"343,197",53        ,$47.00M,R,124 min,"Action, Drama, Thriller","
A marksman living in exile is coaxed back into action after hearing of a plot to kill the President. After being-double crossed for the attempt and on the run, he sets out for the real killer and the truth.","['Mark Wahlberg', 'Michael Peña', 'Rhona Mitra', 'Danny Glover']",Antoine Fuqua
521,Hereditary,(2018),7.3,"342,997",87        ,$44.07M,R,127 min,"Drama, Horror, Mystery","
A grieving family is haunted by tragic and disturbing occurrences.","['Toni Collette', 'Milly Shapiro', 'Gabriel Byrne', 'Alex Wolff']",Ari Aster
522,Click,(2006),6.4,"342,554",45        ,$137.36M,PG-13,107 min,"Comedy, Drama, Fantasy","
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.","['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']",Frank Coraci
523,Up in the Air,(2009),7.4,"342,367",83        ,$83.82M,R,109 min,"Comedy, Drama, Romance","
Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.","['George Clooney', 'Vera Farmiga', 'Anna Kendrick', 'Jason Bateman']",Jason Reitman
524,The Hunt,(2012),8.3,"342,238",77        ,$0.69M,R,115 min,Drama,"
A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",Thomas Vinterberg
525,The Interview,(2014),6.5,"341,833",52        ,$6.11M,R,112 min,"Action, Adventure, Comedy","
Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.","['James Franco', 'Seth Rogen', 'Randall Park', 'Lizzy Caplan']",Seth Rogen; Evan Goldberg
526,Burn After Reading,(2008),7.0,"341,557",63        ,$60.36M,R,96 min,"Comedy, Crime, Drama","
A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.","['Brad Pitt', 'Frances McDormand', 'George Clooney', 'John Malkovich']",Joel Coen; Ethan Coen
527,Pearl Harbor,(2001),6.2,"341,491",44        ,$198.54M,PG-13,183 min,"Action, Drama, History","
A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.","['Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']",Michael Bay
528,Total Recall,(1990),7.5,"341,317",60        ,$119.39M,R,113 min,"Action, Adventure, Sci-Fi","
When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?","['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside', 'Rachel Ticotin']",Paul Verhoeven
529,Real Steel,(2011),7.1,"341,179",56        ,$85.47M,PG-13,127 min,"Action, Drama, Sci-Fi","
In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.","['Hugh Jackman', 'Evangeline Lilly', 'Dakota Goyo', 'Anthony Mackie']",Shawn Levy
530,10 Cloverfield Lane,(2016),7.2,"340,392",76        ,$72.08M,PG-13,103 min,"Drama, Horror, Mystery","
A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.","['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']",Dan Trachtenberg
