,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
939,King Arthur: Legend of the Sword,(2017),6.7,"223,884",41        ,$39.18M,PG-13,126 min,"Action, Adventure, Drama","
Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.","['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law', 'Djimon Hounsou']",Guy Ritchie
940,Planet of the Apes,(2001),5.7,"223,756",50        ,$180.01M,PG-13,119 min,"Action, Adventure, Sci-Fi","
In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","['Mark Wahlberg', 'Helena Bonham Carter', 'Tim Roth', 'Michael Clarke Duncan']",Tim Burton
941,A Fistful of Dollars,(1964),7.9,"223,740",65        ,$14.50M,R,99 min,"Action, Drama, Western","
A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch', 'Wolfgang Lukschy']",Sergio Leone
942,Die Another Day,(2002),6.1,"223,725",56        ,$160.94M,PG-13,133 min,"Action, Adventure, Thriller","
James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.","['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike', 'Toby Stephens']",Lee Tamahori
943,Fast & Furious Presents: Hobbs & Shaw,(2019),6.5,"223,496",60        ,$173.96M,PG-13,137 min,"Action, Adventure, Thriller","
Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.","['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']",David Leitch
944,The Croods,(2013),7.2,"223,074",55        ,$187.17M,PG,98 min,"Animation, Action, Adventure","
After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.","['Nicolas Cage', 'Ryan Reynolds', 'Emma Stone', 'Catherine Keener']",Chris Sanders; Kirk DeMicco
945,Chef,(2014),7.3,"223,002",68        ,$30.64M,R,114 min,"Adventure, Comedy, Drama","
A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.","['Jon Favreau', 'Robert Downey Jr.', 'Scarlett Johansson', 'Dustin Hoffman']",Jon Favreau
946,Dogma,(1999),7.3,"222,921",62        ,$30.65M,R,130 min,"Adventure, Comedy, Drama","
An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.","['Ben Affleck', 'Matt Damon', 'Linda Fiorentino', 'Bud Cort']",Kevin Smith
947,Pain & Gain,(2013),6.4,"222,909",45        ,$49.88M,R,129 min,"Action, Comedy, Crime","
A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.","['Mark Wahlberg', 'Dwayne Johnson', 'Anthony Mackie', 'Tony Shalhoub']",Michael Bay
948,The Polar Express,(2004),6.6,"222,857",61        ,$183.37M,G,100 min,"Animation, Adventure, Comedy","
On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.","['Tom Hanks', 'Chris Coppola', 'Michael Jeter', 'Leslie Zemeckis']",Robert Zemeckis
